C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_CE_TM.txt	Peak Intensities																					
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	2	1	2	3	4	5	6	7	8	9
544.6	369	Positive	Confirmed and Common Results	IS CE 9:0	(FA 20:0+C3H6O/CE)	58161728.71	56223688.83	56113096.93	56459944.46	66408624.2	50757691.45	58787794.52	35023855.37	54665552.08	64823346.73	50919815.52	53840983.64	56291079.66	54325901.27	40455394.47	41733806.01	50227875
684.8	369	Positive	Confirmed and Common Results	IS CE 19:0	(FA 20:0+C3H6O/CE)	38419766.34	37588975.12	37722590.13	37802342.16	42948854.14	33903523.49	39461731.06	25786254.4	37965813.39	43813535.33	35586489.62	35483973.01	38135069.99	35153705.24	26887675.19	26480953.92	30022216.54
752.9	369	Positive	Confirmed and Common Results	IS CE 24:1	(FA 20:0+C3H6O/CE)	51197215.87	48487390.85	46706057.74	46743625	63085643.64	43770088.68	51625911.7	32865196.85	51976102.78	63691314.89	46247267.77	47012959.88	47726050.87	46554051.31	32994388.56	35091350.88	38158449.81
612.7	369	Positive	Confirmed and Common Results	CE 14:1	(FA 20:0+C3H6O/CE)	804581.4146	584896.5362	800618.0358	924310.3344	1154833.393	624485.4923	585682.9927	2544355.18	1318869.714	1694645.661	1371846.939	1290177.231	2046557.015	1765795.664	1766229.877	1641750	397750
614.7	369	Positive	Confirmed and Common Results	CE 14:0	(FA 20:0+C3H6O/CE)	4072010.344	3084103.277	3986314.442	3675611.374	4983450.251	3553780.927	3615027.661	7798801.325	11852418.4	14732237.01	11506085.43	11364878.33	21830243.38	20435462.84	14568376.71	16477226.44	954455.9622
628.7	369	Positive	Confirmed and Common Results	CE 15:0	(FA 20:0+C3H6O/CE)	2310065.607	1616869.881	2788822.78	3348628.349	3208245.322	2092886.527	1942937.423	7898907.015	2634374.153	3074340.564	2887146.966	2894910.043	6678370.316	5045503.721	4053269.493	4074201.236	1330040.175
638.7	369	Positive	Confirmed and Common Results	CE 16:2	(FA 20:0+C3H6O/CE)	651172.7207	530608.6825	547928.2212	537102.958	705549.8639	423850.1104	362187.6789	1362105.779	498229.6692	693827.1183	528587.1917	495589.4082	811895.8336	857027.525	615333.4223	627510.0084	93530.0845
640.7	369	Positive	Confirmed and Common Results	CE 16:1	(FA 20:0+C3H6O/CE)	13561344.94	11418371.5	12646672.36	12182930.05	15750013.67	9057496.375	10287017.71	27712832.1	21274163.03	29584793.05	21496636.02	21458645.18	38562964.54	37260374.92	28828169	31372899.55	2274832.092
642.7	369	Positive	Confirmed and Common Results	CE 16:0	(FA 20:0+C3H6O/CE)	18093117.86	15891793.43	16853639.11	16218810.43	20695486.5	15045750.86	17099530.12	28097472.52	24294264.53	30058833.26	22875813.72	23206602.72	58347193.42	57649262.72	40368997.68	48017754.92	1932560.499
