C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Cer.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	9
510.6	264.30	Positive	Confirmed and Common Results	IS Cer 32:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	19313675.1558	16911625	17743875	17918875	17969500	17843625	20177625	17506250	20531375	23794000	18629196.4733	19791000	21792500	20469500	16368625	16429250	16416750
552.6	264.30	Positive	Confirmed and Common Results	IS Cer 35:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	18742710.414	16109949.4497	16987854.565	16843163.9224	17207567.305	16900648.7526	19183343.961	15759602.9029	19454292.0303	22495662.6258	18267413.3667	18284623.9919	20484051.0676	19687183.379	15846627.3593	15012403.2298	15045992.2371
664.7	264.30	Positive	Confirmed and Common Results	IS Cer 43:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	14938466.9914	12835194.4025	12673561.6819	13044112.7431	12481386.8547	12715086.1154	15662164.6004	12780967.5467	15791190.701	19694868.6246	12560552.8393	15215451.299	15020822.0751	14549958.6706	12416407.4238	13045625	13864878.4908
538.6	264.30	Positive	Confirmed and Common Results	Cer 34:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	10252588.6931	7681134.1392	8570591.3152	8361014.971	6638068.9319	5642499.9642	6647417.2806	6837348.4462	6602920.6165	8162083.2131	5929639.4648	6232520.8214	9781467.814	9061191.9701	6576935.8433	7824512.4335	455761.4962
566.6	264.30	Positive	Confirmed and Common Results	Cer 36:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	1632795.163	1255570.7953	1339696.4617	1395882.8902	1285333.4559	917495.2484	990321.4191	1219737.0972	900304.89	1080611.7789	956861.2955	925811.839	2325578.8814	2189368.1385	1583556.2979	1605149.599	236057.5057
594.7	264.30	Positive	Confirmed and Common Results	Cer 38:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	836226.4827	577475.0848	537799.8789	666977.0308	625015.4492	623250	652177.2044	688838.1582	424625	426309.3921	489110.883	442403.2073	999750	904250	783250	672957.1046	157985.436
620.7	264.30	Positive	Confirmed and Common Results	Cer 40:2;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	1541555.6127	1139981.2687	1166593.7969	1236724.9149	1370350.9338	1092316.5359	1317666.6739	1080189.2871	545489.2915	675925.9427	544272.5624	490108.4851	510390.2062	576014.2634	370815.3084	437515.8195	29045.0096
622.7	264.30	Positive	Confirmed and Common Results	Cer 40:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	2777117.481	2024771.3022	2163428.7762	2284877.0762	2485649.3189	2317211.5437	2710502.2403	2611606.1737	1696258.0161	1986021.2033	1632824.7906	1624477.9481	3406640.5477	2858719.3304	2180253.3859	2484673.4206	175154.6669
636.7	264.30	Positive	Confirmed and Common Results	Cer 40:2;3	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	585239.8962	484054.4393	483837.584	505390.4808	429130.0295	418238.7906	396716.0936	475879.0419	500540.6995	614757.338	422745.8402	497448.2706	854922.6794	804986.3798	647288.3365	612728.2418	137569.7418
648.7	264.30	Positive	Confirmed and Common Results	Cer 42:2;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	13413619.1732	10070651.5692	11376394.7145	10935528.2548	15518759.5481	13919188.8281	16676383.8646	13455022.549	6644512.3215	8700731.8507	5957984.0317	6390255.6138	12145007.4359	11704534.2695	8030149.1144	9929416.454	81615.5148
650.7	264.30	Positive	Confirmed and Common Results	Cer 42:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	2936842.3793	2253582.395	2511194.3953	2341694.0563	3532960.8389	3012001.4361	3380759.3754	3732633.4811	2727519.8574	3577009.867	2478530.1762	2816281.908	3914411.4928	3426160.4024	2726499.8146	2961124.5124	508404.6922
