C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_DAG_NL.txt	Peak Intensities																					
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	2	1	2	3	4	5	6	7	8	9
614.8	287.3	Positive	Confirmed and Common Results	IS DAG 34:0	(-FA 17:0)	25167375	24814375	25154625	23460375	26656500	23669250	21853875	14675000	25698500	25409875	28492125	27272500	26180875	27909000	27819250	26151000	22104250
556.5	271.3	Positive	Confirmed and Common Results	DAG 30:1	(-FA 16:1)	394625	382500	405500	390750	411750	501125	286250	838125	549875	496250	464000	456125	304625	459000	372125	402375	132750
556.7	245.3	Positive	Confirmed and Common Results	DAG 30:1	(-FA 14:0)	504750	341500	436125	429000	386375	461125	413125	291875	574250	496500	444875	557875	411875	522500	352000	417500	247625
558.6	245.3	Positive	Confirmed and Common Results	DAG 30:0	(-FA 14:0)	749875	664625	688000	673000	896750	847750	674000	539625	948250	1144250	1118000	1004125	944875	1002375	876125	964250	172375
558.8	273.3	Positive	Confirmed and Common Results	DAG 30:0	(-FA 16:0)	0	824875	0	0	0	1129625	0	725375	1301125	1357625	1455750	1228375	0	0	1209000	1447875	0
582.7	271.3	Positive	Confirmed and Common Results	DAG 32:2	(-FA 16:1)	767125	779250	845500	732250	637125	758250	432000	464625	1067625	1009625	1017250	938000	606000	663125	585250	709500	175500
584.7	245.3	Positive	Confirmed and Common Results	DAG 32:1	(-FA 14:0)	664125	563000	659250	677375	674750	614000	474500	380750	874125	838375	800250	853875	557375	693375	622250	643375	136375
584.7	299.3	Positive	Confirmed and Common Results	DAG 32:1	(-FA 18:1)	1152625	876625	1086625	786500	1151125	915500	775875	836875	1231625	1371000	1398125	1316750	1137875	2629375	1034250	1151750	316000
584.7	273.3	Positive	Confirmed and Common Results	DAG 32:1	(-FA 16:0)	2423875	2557625	2307875	2370000	2413125	2272375	1923500	1392000	3154125	3754500	3093125	2985375	2940625	3064625	2874125	5303375	764000
584.7	271.3	Positive	Confirmed and Common Results	DAG 32:1	(-FA 16:1)	1878375	1666625	1816250	1691875	1914000	1869625	1388875	1211000	2538875	2676125	2686250	2519125	2472625	2457750	2335000	2617750	161500
586.7	273.3	Positive	Confirmed and Common Results	DAG 32:0	(-FA 16:0)	3915750	2436125	2199250	2421875	3323000	3092375	2483875	1778375	3042750	3423250	3397625	3222750	3279625	3900250	4001125	4029750	787250
586.8	301.3	Positive	Confirmed and Common Results	DAG 32:0	(-FA 18:0)	298375	274125	0	227250	0	286875	0	199375	276250	353625	322750	0	267000	425375	342000	316125	0
586.8	245.3	Positive	Confirmed and Common Results	DAG 32:0	(-FA 14:0)	254500	0	158375	139500	181000	219500	207750	111125	200625	183750	219500	191000	189250	249000	207750	163125	90250
610.7	245.3	Positive	Confirmed and Common Results	DAG 34:2	(-FA 14:0)	82250	51125	0	82375	78000	65500	91750	62000	79875	45125	69125	53875	74125	72750	74250	53125	62375
610.7	273.3	Positive	Confirmed and Common Results	DAG 34:2	(-FA 16:0)	0	0	0	0	0	0	0	295500	0	0	0	0	0	0	0	0	0
610.8	325.3	Positive	Confirmed and Common Results	DAG 34:2	(-FA 20:2)	0	99375	128750	0	0	150250	0	761750	0	158250	0	137500	0	176000	0	100250	0
610.8	271.3	Positive	Confirmed and Common Results	DAG 34:2	(-FA 16:1)	2120000	2070000	2048125	2098625	1612750	1559875	1211375	1084875	2772375	2758250	2788375	2661250	1708750	1830125	1787875	1885375	0
610.8	297.3	Positive	Confirmed and Common Results	DAG 34:2	(-FA 18:2)	411375	350750	412625	381500	419625	398500	212750	464500	486375	532750	509375	498000	360125	413375	406625	440875	95625
610.8	299.3	Positive	Confirmed and Common Results	DAG 34:2	(-FA 18:1)	3025000	2684875	3169750	2510625	2475125	2051250	2050125	1371625	3483125	3366875	3514875	3619250	2501375	3473125	2540250	2596875	645750
612.4	245.3	Positive	Confirmed and Common Results	DAG 34:1	(-FA 14:0)	208125	134000	143875	218250	207500	131375	214125	135625	152000	108750	125250	128000	129000	132250	99500	144000	176750
612.7	327.3	Positive	Confirmed and Common Results	DAG 34:1	(-FA 20:1)	405000	233375	302500	360125	355875	343375	504125	257250	313750	158625	302250	444000	236875	274375	251625	275125	850125
612.8	299.3	Positive	Confirmed and Common Results	DAG 34:1	(-FA 18:1)	4737125	4105375	4533750	4077250	4778000	4554625	3958875	2909375	6109000	6288000	5911250	6151375	5897000	6467250	5630125	6990500	212250
612.8	271.3	Positive	Confirmed and Common Results	DAG 34:1	(-FA 16:1)	297250	293000	300375	269250	292375	347000	247125	302500	370250	362875	371625	392750	0	318750	340750	310625	107375
612.8	301.3	Positive	Confirmed and Common Results	DAG 34:1	(-FA 18:0)	1145375	1383750	896750	1085250	1167875	996875	717125	591750	999375	1806000	1074125	864750	1043500	1035375	952875	3083625	788375
612.8	273.3	Positive	Confirmed and Common Results	DAG 34:1	(-FA 16:0)	3869500	3717625	3754375	3634250	4274375	4151125	3470625	2559125	5628625	5291750	5547000	5139125	5179625	5626625	5068250	5832625	203875
614.4	329.3	Positive	Confirmed and Common Results	DAG 34:0	(-FA 20:0)	209375	139000	175500	176500	0	0	238625	189125	183625	136000	176625	0	145500	146375	203375	175500	605125
614.8	245.3	Positive	Confirmed and Common Results	DAG 34:0	(-FA 14:0)	1406500	1219875	1515625	1400250	1630375	1557750	1288875	2464000	4346125	5055750	4794500	4573000	8043750	8205125	7459125	8966875	270375
614.8	301.3	Positive	Confirmed and Common Results	DAG 34:0	(-FA 18:0)	3637500	1731000	1502375	1595250	2210625	1820500	1499500	1088250	1432250	1396000	1634125	1592375	1561750	1750250	1901250	1679875	707500
614.8	273.3	Positive	Confirmed and Common Results	DAG 34:0	(-FA 16:0)	3576750	1469750	1368000	1522500	2000125	1664250	1413875	989375	1352375	1203125	1542625	1466125	1465125	1701125	1851000	1645500	691625
632.6	273.3	Positive	Confirmed and Common Results	DAG 36:5	(-FA 16:0)	208750	162000	167125	179000	156500	141250	125250	93625	126000	127625	208625	124250	190000	187000	226500	142750	76625
632.6	271.3	Positive	Confirmed and Common Results	DAG 36:5	(-FA 16:1)	165500	188125	115000	131875	104750	121750	114750	46750	118125	121625	90875	148625	151750	191500	327250	157000	361250
632.6	319.3	Positive	Confirmed and Common Results	DAG 36:5	(-FA 20:5)	225250	182125	233750	173625	200625	190250	157000	128000	139125	202000	338625	170500	210750	216625	237750	217250	163750
632.7	321.3	Positive	Confirmed and Common Results	DAG 36:5	(-FA 20:4)	116000	104250	0	73625	118625	172375	65125	69375	85125	72500	116625	88125	83875	120750	61875	96875	0
632.7	295.3	Positive	Confirmed and Common Results	DAG 36:5	(-FA 18:3)	68125	92000	97250	61875	145000	63000	60875	0	50125	61125	86625	93000	0	85125	0	87625	0
632.8	297.3	Positive	Confirmed and Common Results	DAG 36:5	(-FA 18:2)	0	69000	0	48125	0	0	0	39500	37125	0	44875	0	0	0	0	0	25750
634.6	295.3	Positive	Confirmed and Common Results	DAG 36:4	(-FA 18:3)	179375	216500	215375	163375	178875	202625	128750	117125	143875	126250	256500	199500	161000	238500	353375	235500	111125
634.7	299.3	Positive	Confirmed and Common Results	DAG 36:4	(-FA 18:1)	165375	229125	205250	98000	200125	234375	148750	147625	232750	234750	179375	182625	209000	322375	311000	242125	157250
634.8	297.3	Positive	Confirmed and Common Results	DAG 36:4	(-FA 18:2)	111000	0	157375	101250	165125	160750	117375	210625	62125	0	83000	103250	0	0	88750	65875	0
634.8	321.3	Positive	Confirmed and Common Results	DAG 36:4	(-FA 20:4)	0	156500	0	0	153625	117250	113250	91125	146375	164625	169625	123250	150875	192625	169500	204875	44625
634.8	273.3	Positive	Confirmed and Common Results	DAG 36:4	(-FA 16:0)	0	126375	0	0	0	0	0	54250	0	0	114750	0	0	148125	0	154875	0
636.6	295.3	Positive	Confirmed and Common Results	DAG 36:3	(-FA 18:3)	130125	126000	140500	69250	169125	91000	72625	55250	57875	60875	157000	105750	0	108250	82625	102750	65250
636.7	271.3	Positive	Confirmed and Common Results	DAG 36:3	(-FA 16:1)	73625	53500	70125	66500	0	101250	52250	73500	62000	74000	85375	0	0	54375	0	81375	0
636.7	325.3	Positive	Confirmed and Common Results	DAG 36:3	(-FA 20:2)	166625	97875	104125	73625	171750	103500	95500	93125	105875	138375	101375	106125	90750	149250	70625	132375	59000
636.8	301.3	Positive	Confirmed and Common Results	DAG 36:3	(-FA 18:0)	0	0	0	43125	0	0	0	0	0	0	0	0	86125	0	0	0	0
638.7	325.3	Positive	Confirmed and Common Results	DAG 36:2	(-FA 20:2)	187000	133375	167250	122000	110250	96875	97125	126125	133125	142750	125500	108250	129500	150125	123000	192625	0
638.7	271.3	Positive	Confirmed and Common Results	DAG 36:2	(-FA 16:1)	177500	183875	183125	177250	205625	154125	103125	254500	207875	220500	241625	201125	170000	190625	172250	161375	0
638.7	327.3	Positive	Confirmed and Common Results	DAG 36:2	(-FA 20:1)	747500	372500	370750	263000	474375	328625	206000	226250	353500	367625	619125	374875	354625	558625	581500	375375	243125
638.8	273.3	Positive	Confirmed and Common Results	DAG 36:2	(-FA 16:0)	216250	112875	0	168875	0	0	0	84125	157000	149125	186375	103125	127375	0	166250	0	62625
638.8	297.3	Positive	Confirmed and Common Results	DAG 36:2	(-FA 18:2)	208625	281625	233500	197875	159500	211375	129000	264500	226500	211000	242250	174875	157375	223125	225875	170750	50375
638.8	301.3	Positive	Confirmed and Common Results	DAG 36:2	(-FA 18:0)	127000	115625	0	128875	0	176875	0	131875	121625	103250	176125	147875	86000	138625	141500	104875	45875
638.8	299.3	Positive	Confirmed and Common Results	DAG 36:2	(-FA 18:1)	7106500	6343000	6700625	6222000	6497375	6619125	5112125	4285125	8357875	8078125	8608125	7685125	6022500	6814875	5903750	7565750	216625
640.3	329.3	Positive	Confirmed and Common Results	DAG 36:1	(-FA 20:0)	137000	103625	122875	68375	149875	211000	108125	74875	86750	140500	132750	153625	151500	161875	167500	138375	91375
640.8	299.3	Positive	Confirmed and Common Results	DAG 36:1	(-FA 18:1)	1166000	928500	1077875	925000	1112000	1206500	769500	839750	1077625	1187625	1189500	954625	989750	1197375	949750	1257000	170625
640.8	273.3	Positive	Confirmed and Common Results	DAG 36:1	(-FA 16:0)	290250	318375	603500	846250	396000	407500	496000	389125	504500	481875	436000	490000	404375	437000	443375	467750	90125
640.8	327.3	Positive	Confirmed and Common Results	DAG 36:1	(-FA 20:1)	406000	400625	415250	337000	419250	373750	321125	258125	479750	419625	469000	438000	448250	555375	531750	540375	104125
