C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_Hex2Cer_TM.txt	Peak Intensities																					
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	1	6	7	8	1	2	3	4	5	6	7	8	9
876.8	342.4	Positive	Confirmed and Common Results	IS Hex2Cer 35:1;2	(Hex2)	7421125	4992125	5750250	3333000	3231125	7191500	8459750	6927750	6169625	6215750	6531750	6914500	6790125	7122875	6811500	5837500	7084500
862.6	342.4	Positive	Confirmed and Common Results	Hex2Cer 34:1;2	(Hex2)	856625	588875	774000	408125	247250	642375	743125	630000	572750	650250	550500	639500	653250	639500	644875	606000	65375
890.7	342.4	Positive	Confirmed and Common Results	Hex2Cer 36:1;2	(Hex2)	254625	182500	189000	144250	94125	213375	167000	207375	192250	215500	170625	171250	290250	251250	232250	292500	0
906.7	342.4	Positive	Confirmed and Common Results	Hex2Cer 36:1;3	(Hex2)	127250	119500	75250	108875	65125	101250	78750	123625	97250	106500	77000	0	83875	0	79375	74000	55500
918.7	342.4	Positive	Confirmed and Common Results	Hex2Cer 38:1;2	(Hex2)	129125	120375	110500	120875	88500	147500	130625	133375	125500	144375	124750	97250	205250	195250	174000	193875	47875
932.7	342.4	Positive	Confirmed and Common Results	Hex2Cer 38:2;3	(Hex2)	81750	106250	115125	99500	55000	137250	94750	0	86750	144750	64375	89250	123875	56750	68000	75750	0
946.7	342.4	Positive	Confirmed and Common Results	Hex2Cer 40:1;2	(Hex2)	419000	333125	301125	195000	215000	347500	397500	324125	324750	443000	283875	328375	520375	481125	359500	471625	50000
960.7	342.4	Positive	Confirmed and Common Results	Hex2Cer 40:2;3	(Hex2)	297625	318375	321875	396375	112375	221125	269000	174125	264875	857250	195000	256875	218875	232375	170875	204500	57500
962.7	342.4	Positive	Confirmed and Common Results	Hex2Cer 40:1;3	(Hex2)	217750	180250	187000	147375	124000	142125	169125	144375	118625	256250	144375	140625	121250	106125	121750	103875	45875
972.7	342.4	Positive	Confirmed and Common Results	Hex2Cer 42:2;2	(Hex2)	1457875	879125	959000	596250	503250	1275125	1419375	1055750	1222250	1184625	1035375	1240250	1565125	1692750	1415250	1596625	0
974.8	342.4	Positive	Confirmed and Common Results	Hex2Cer 42:1;2	(Hex2)	430625	286750	377500	244250	200000	354875	458875	360500	435500	481750	409250	437000	634500	610500	489500	584250	40375
988.7	342.4	Positive	Confirmed and Common Results	Hex2Cer 42:2;3	(Hex2)	163875	131375	114250	94625	0	109500	104500	138625	108625	170375	130375	157875	96875	62500	80125	97625	66250
990.7	342.4	Positive	Confirmed and Common Results	Hex2Cer 42:1;3	(Hex2)	171875	120875	157875	109875	0	119750	0	112250	109375	195875	116750	143625	91125	120000	111875	0	48375
