C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_HexCer_Controls_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	9
672.6	264.30	Positive	Confirmed and Common Results	IS HexCer 32:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	17137446.6921	13398908.9889	14502417.0768	14480269.8728	13444937.4354	15458054.7659	18649750	15338242.6596	17376522.4749	15540384.0134	17605704.4913	17145928.1829	19647978.804	18224232.6143	14754973.4326	13648573.7397	12142125
742.7	264.30	Positive	Confirmed and Common Results	IS HexCer 37:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	16797594.0235	13280453.0978	14260430.7036	13605120.4234	12617042.4902	15262419.8608	17976100.8938	14399012.0826	16377168.3204	14871037.8535	16563591.429	16863606.5636	18412382.3601	17277256.9592	13852683.1482	13109926.7198	11955640.4785
854.8	264.30	Positive	Confirmed and Common Results	IS HexCer 45:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	11957356.7252	9706487.1579	10345038.3079	10514269.1334	9532834.2157	11328761.0091	13515679.5471	10946306.3122	12272250	11585462.834	12109044.7114	12469648.9715	13660250	12860172.7716	10062138.7248	9314679.4587	9031922.8073
700.6	264.30	Positive	Confirmed and Common Results	HexCer 34:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	3909896.6173	2674197.4213	2828476.4038	2897757.7866	2924370.72	3038182.4598	3991581.1361	3144181.8187	2898713.1393	2750603.9386	2876697.2376	2889706.4445	7168084.6254	6629667.413	4849882.3649	5200774.8071	39001.7046
728.7	264.30	Positive	Confirmed and Common Results	HexCer 36:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	596374.709	388655.2233	412587.6801	504226.9833	671214.7584	655416.3039	838913.5098	785084.9651	479820.946	454496.6267	513982.2793	432508.367	2353481.6316	2196308.4411	1459900.396	1786475.5903	56895.4969
756.7	264.30	Positive	Confirmed and Common Results	HexCer 38:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	402338.5043	365384.4583	246418.3942	312814.4175	466945.4497	446925.5912	504332.0304	460526.4792	292094.8092	278633.3559	273049.4761	326500	1637910.369	1529495.698	1058268.0029	1163383.7755	0
770.7	264.30	Positive	Confirmed and Common Results	HexCer 38:2;3	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	86176.3114	68716.5815	100135.2861	78192.3263	118476.738	69320.1623	148526.057	132475.76	71623.4395	87557.6163	94095.4011	112234.0098	145013.7183	143966.9451	93289.8048	168143.9743	34971.9968
782.7	264.30	Positive	Confirmed and Common Results	HexCer 40:2;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	2137698.8185	1449758.7217	1769688.8569	1704901.622	1353572.8039	1464326.8225	1868522.3904	1490232.5194	943609.0807	952681.2898	982337.4501	904148.3342	1377651.9113	1320193.8355	859471.661	1172113.3973	0
784.7	264.30	Positive	Confirmed and Common Results	HexCer 40:1;2	(LCB 18:0;3-3H2O/LCB 18:1;2-2H2O/LCB 19:2;2-CH4O2/-O-16:2+C2H5N-O)	2793912.6521	1608276.3097	2031779.6434	1925699.0338	2480790.556	2952587.7339	3356712.2655	2875477.9741	2536908.2583	2529443.965	2399388.3924	2373793.7489	6664227.02	6031681.7283	4401306.6775	5067735.786	22039.6669
