C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_LPC_TM.txt	Peak Intensities																					
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	1	7	8	1	2	3	4	5	6	7	8	9
508.4	184	Positive	Confirmed and Common Results	IS LPC 17:1	(PC)	11449614.82	6622204.961	8447152.997	5158357.521	3744386.375	3575435.142	9666314.199	6771588.18	8959358.376	11510211.54	10014037.17	11511489.33	9592354.485	8926264.712	9028455.452	7562170.089	9149854.168
466.3	184	Positive	Confirmed and Common Results	LPC 14:1	(PC)	326735.2875	179227.6695	242022.6125	227873.6633	228867.7482	306502.1699	224397.6008	287742.9823	311800.033	274718.8703	379397.6525	236823.9008	394529.8943	410177.2351	275408.0377	189934.2387	121005.5006
468.4	184	Positive	Confirmed and Common Results	LPC 14:0	(PC)	2134574.04	1286711.322	1682384.393	1235710.445	930101.9932	819480.8138	1432875.829	1413949.274	1982325.884	2053830.287	2046076.725	1912534.723	2267298.312	1866991.739	1696018.689	1402754.056	699202.7737
494.4	184	Positive	Confirmed and Common Results	LPC 16:1	(PC)	6219863.014	3738453.175	5059586.874	3384316.094	2107285.205	1415620.252	3669318.623	3043591.894	5303065.971	5308466.282	5445129.874	5221943.184	5075073.541	4416223.535	3706958.491	3133012.164	309470.2158
496.4	184	Positive	Confirmed and Common Results	LPC 16:0	(PC)	10243670.79	5614639.496	7571452.115	4656917.313	4168249.025	5121611.968	6660567.022	5552014.734	7677364.442	9998057.986	7232777.046	8181385.645	8461220.647	7696983.736	6512142.18	6197824.485	236458.0155
518.3	184	Positive	Confirmed and Common Results	LPC 18:3	(PC)	216163.2868	124061.5792	231299.4569	135325.4235	123953.0668	134280.9354	134981.2455	147443.6928	186437.6902	141414.3559	245889.0651	316320.1683	177154.2844	166952.8936	189786.6934	144261.3301	63021.8868
520.4	184	Positive	Confirmed and Common Results	LPC 18:2	(PC)	1489509.817	755631.7993	1130582.829	734764.9225	378740.3284	331365.2822	609351.2594	498285.3554	1190027.334	1370714.538	976407.6734	1287864.349	916083.5028	728571.7823	782695.5014	655913.021	72539.8436
522.4	184	Positive	Confirmed and Common Results	LPC 18:1	(PC)	19306848.25	10797092.39	14740757.18	8973605.614	6213935.985	3555867.275	9932282.958	7809028.389	13507455.77	18014121.22	12211677.21	13013795.19	11878142.12	10803840.41	8449661.985	8396888.233	140759.363
524.4	184	Positive	Confirmed and Common Results	LPC 18:0	(PC)	6230615.189	4145891.498	4834770.872	4162605.244	2877893.017	928423.5342	3703248.98	3494701.919	4577675.588	8347685.272	5063345.936	4876465.19	5196947.395	4908044.653	3558805.763	3955734.967	102345.1765
540.3	184	Positive	Confirmed and Common Results	LPC 20:6	(PC)	227760.5017	95470.5549	181152.9225	155510.4776	145698.7723	180917.8391	122548.0355	127230.1305	139131.6063	164161.0344	267263.1548	211216.7399	309488.6034	167420.5831	183718.08	71145.9864	92747.0532
542.4	184	Positive	Confirmed and Common Results	LPC 20:5	(PC)	598052.8317	363110.6297	426050.9175	414322.7	405258.7185	244334.2811	282662.2743	328033.6178	389573.5173	458399.1762	498905.9824	488141.2768	506187.6244	419280.7592	477007.4735	347692.1466	89002.6347
544.4	184	Positive	Confirmed and Common Results	LPC 20:4	(PC)	1245662.706	747133.5228	933585.5331	650604.6412	507309.6311	342196.6774	440811.5318	511785.5903	1023720.452	994402.2953	703783.2088	768810.9349	1063399.926	906214.5494	710575.7855	722272.6952	70409.6591
546.4	184	Positive	Confirmed and Common Results	LPC 20:3	(PC)	441243.1111	301168.9586	379772.4187	262930.0506	218916.2858	219926.4602	266313.6674	223620.477	457708.9864	480220.3765	475743.2585	367063.2756	540541.5102	470147.0905	413397.8913	258144.9226	75320.2853
548.5	184	Positive	Confirmed and Common Results	LPC 20:2	(PC)	1392137.019	978875.408	1026861.898	834281.2097	489858.1481	345192.8742	502011.2026	523454.1479	933953.4249	1584104.523	1007630.786	1032044.9	852035.9603	782927.8786	642867.9916	591158.0734	76934.5978
550.4	184	Positive	Confirmed and Common Results	LPC 20:1	(PC)	8791350.972	6190670.392	7085025.185	5732408.684	3201482.096	708890.7268	4026228.432	3839588.818	6120302.406	11029800.49	6302768.038	6384927.467	5944202.686	5164716.825	3603488.57	4262567.31	84854.9304
552.4	184	Positive	Confirmed and Common Results	LPC 20:0	(PC)	1232605.503	736257.6736	890915.117	565021.2475	580835.8629	439488.2898	935748.4881	709310.2954	757144.7334	1352819.656	1007403.507	1128137.676	1181159.761	954705.1121	938336.9317	774900.1609	829902.911
568.3	184	Positive	Confirmed and Common Results	LPC 22:6	(PC)	856284.062	497608.1575	635499.7504	452656.8096	302848.72	269160.9841	383270.3249	330050.1733	724211.4109	742173.9917	533385.3123	519925.4148	647709.3488	514282.3131	421841.8749	449093.8675	88168.5786
570.4	184	Positive	Confirmed and Common Results	LPC 22:5	(PC)	958944.298	598083.483	786101.2463	529391.0948	332257.051	274882.7636	324395.1185	370595.1071	728422.4258	987989.4779	687530.3966	642234.4683	904906.1707	685532.3278	556174.671	639146.2376	49297.9413
572.4	184	Positive	Confirmed and Common Results	LPC 22:4	(PC)	1772689.099	1211422.801	1374304.513	1100071.093	606150.0213	191388.0727	540887.9696	688574.6887	1041687.342	1590349.355	1132785.298	1041403.704	1197288.874	1129377.408	839165.8109	909769.1541	60495.4008
574.5	184	Positive	Confirmed and Common Results	LPC 22:3	(PC)	751035.9101	446863.7933	722628.8323	844614.9729	787028.9503	656976.4201	505760.3269	688311.604	767588.8479	737201.9392	959662.6355	741714.477	991176.3818	823514.9833	631804.4213	533395.4489	285845.3871
576.4	184	Positive	Confirmed and Common Results	LPC 22:2	(PC)	473438.4864	338670.7964	381965.639	317408.0269	202034.8858	126834.6782	217939.2843	192728.0006	316823.1438	470739.1933	358782.6104	363400.8424	346780.5646	342806.8602	267168.0628	234742.6745	49531.4708
578.5	184	Positive	Confirmed and Common Results	LPC 22:1	(PC)	584380.2682	428666.4847	448401.6035	389447.8021	219992.1017	184912.8354	319850.791	265783.26	331315.8369	651630.974	191631.7838	443619.9719	255046.7079	180844.1441	190431.4215	231120.963	3110.2715
