C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_PA_37_4_Controls_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	9
728.5	115.00	Positive	Confirmed and Common Results	IS PA 37:4	(-PA (NH4))	5136475.1765	6907205.2685	7499734.4052	7671332.5745	5998625	7726406.156	8870132.8486	7343298.2863	8766869.5683	7543736.5418	8407995.5204	7946830.4501	7972344.8165	7220675.8	7183403.3541	6621946.2743	4770351.4281
662.4	115.00	Positive	Confirmed and Common Results	PA 32:2	(-PA (NH4))	708223.7332	756703.4401	853160.561	652225.0188	457165.3228	529563.7079	504763.7525	384893.1814	647933.7155	823069.9173	719057.4073	791016.2815	419683.8234	355189.5339	197171.7459	281161.5381	149836.9094
664.5	115.00	Positive	Confirmed and Common Results	PA 32:1	(-PA (NH4))	3852172.5366	2868667.2872	5571018.2008	3402445.5122	3199208.8425	4099359.1719	3420901.8794	2768385.6094	3782279.1149	4190828.6165	5797148.2127	5225331.0087	2474709.4241	1869374.1012	1742328.9491	1666807.3457	110027.9471
666.5	115.00	Positive	Confirmed and Common Results	PA 32:0	(-PA (NH4))	1536360.043	1318786.2892	2118687.3725	1560095.202	1786347.9555	2711356.1617	2542090.8062	2025639.0193	2568422.3922	2665449.5013	2861240.9355	2769398.9141	1204747.5669	1026976.0903	938516.868	907889.0923	0
676.5	115.00	Positive	Confirmed and Common Results	PA O-34:2	(-PA (NH4))	434349.2742	624473.4799	572999.9169	406005.1904	374684.3431	357785.534	369491.5397	390495.4564	420775.5122	598938.0175	481439.2566	589933.7538	303796.9174	208526.2795	158716.2876	247323.9207	168622.2853
678.5	115.00	Positive	Confirmed and Common Results	PA O-34:1	(-PA (NH4))	2065207.1003	1845680.263	2774188.6385	1971563.5436	1772758.0145	2288540.7706	2111569.5673	1728573.6516	2220077.5874	2568663.3753	3219919.5698	2750882.5417	1248245.1375	966457.1743	752125.9373	768347.2803	0
688.5	115.00	Positive	Confirmed and Common Results	PA 34:3	(-PA (NH4))	387803.9773	671918.219	610138.1486	428875.5075	271432.0445	355723.0167	246033.2267	319210.0723	304036.8714	415246.3222	347843.4522	625818.8156	221050.5327	169343.9207	153121.524	220340.0726	108860.4666
690.5	115.00	Positive	Confirmed and Common Results	PA 34:2	(-PA (NH4))	5014296.8728	3827685.0457	7297878.2497	4134278.0619	3340250.4555	4141943.5883	3378219.1782	2782935.3151	3786613.732	4936224.8779	6199259.846	5825253.8005	2138522.3289	1684353.5363	1383304.9831	1150602.9013	105462.0924
692.5	115.00	Positive	Confirmed and Common Results	PA 34:1	(-PA (NH4))	13494557.7058	8711712.1602	20352906.6463	9721538.2111	9711521.9092	16399700.9826	10783595.4331	8816949.802	8733790.1544	10803807.7193	16954621.4307	12104400.086	7822519.5706	4728406.4205	5035313.2229	4769138.7922	0
704.6	115.00	Positive	Confirmed and Common Results	PA O-36:2	(-PA (NH4))	966335.7392	1005215.1298	1515403.2339	962628.5708	921908.621	1068427.6833	856653.7463	845303.5433	951645.4625	1246577.9244	1325349.7116	1215061.8083	623484.7517	465620.8843	412980.2136	473203.8662	109355.3921
706.6	115.00	Positive	Confirmed and Common Results	PA O-36:1	(-PA (NH4))	1338175.3261	1046852.5643	2201048.3195	1012144.7212	892446.3481	1727249.8017	898458.4037	767215.6018	875185.4249	1017538.5982	1597437.4069	985107.3267	1003412.7527	650308.7111	597748.9397	509863.2618	0
714.5	115.00	Positive	Confirmed and Common Results	PA 36:4	(-PA (NH4))	404298.1233	687314.4513	639429.2612	429523.0187	313388.4243	465521.5787	262347.1568	370605.0196	370487.0119	517402.2926	342959.1989	448413.4723	395829.5121	247885.6923	370318.4246	265317.8323	146730.7315
716.5	115.00	Positive	Confirmed and Common Results	PA 36:3	(-PA (NH4))	1400573.0078	1318803.238	1796163.3485	1071294.3796	839691.0927	1074122.5253	834177.6604	753531.01	983861.5994	1267555.8168	1376739.4638	1394189.9161	703706.1928	486329.9673	398398.4935	407085.5463	126060.4721
718.6	115.00	Positive	Confirmed and Common Results	PA 36:2	(-PA (NH4))	14127234.2309	9434295.092	21285463.43	10365685.9054	8838070.6943	14405090.9096	8715442.0606	7754680.5898	8363126.7982	10354836.2095	16628935.8664	12134917.2655	6670100.46	4231085.887	3936867.7808	3876751.8891	96184.1056
720.6	115.00	Positive	Confirmed and Common Results	PA 36:1	(-PA (NH4))	11893213.8929	5284069.2254	19505591.1683	5760013.0296	5633574.9433	14330517.9643	4338526.2724	3266277.771	4710613.4796	5488332.3661	12454906.5803	5928366.8528	6378300.0916	2537754.5417	3636194.0924	3076556.2306	141552.334
