C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_PC_Controls_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	9
678.5	184.00	Positive	Confirmed and Common Results	IS PC 28:0	(SM/PC)	451306646.2707	318880645.6724	383526974.7745	299628557.0114	254729406.2288	382797897.1918	409865136.5311	336304573.9437	376177180.4658	545042550.7396	368773303.5292	416422604.2091	378104010.9737	368651414.1266	285205079.7369	307503471.0155	269993750.4551
846.7	184.00	Positive	Confirmed and Common Results	IS PC 40:0	(SM/PC)	137396036.0702	104845975.8862	119184792.6704	94628782.6811	81232952.2099	115824961.6775	122094183.8677	100446500.8712	115709107.2189	180686591.9837	109549692.1354	127816565.6515	117785614.57	115448381.1892	92036271.0582	97572062.2952	94843875
874.7	184.00	Positive	Confirmed and Common Results	IS PC 42:0	(SM/PC)	131576806.7343	104952523.5128	115319088.2849	91804457.3265	79100209.6994	112905300.3857	119542343.5627	97214109.5682	114525139.9796	178757091.4839	106341721.2177	125951157.4293	117083110.3984	114121175.0982	88817987.7057	97874053.5927	93429926.4687
688.5	184.00	Positive	Confirmed and Common Results	PC O-30:2	(SM/PC)	1220941.2902	768261.8014	1043133.1937	825223.4163	624669.3522	803453.1966	973683.3452	935385.9512	903428.4612	1510290.6432	931424.0853	969099.9264	756308.0848	726994.8254	584907.3105	556741.3609	49608.5431
690.5	184.00	Positive	Confirmed and Common Results	PC O-30:1	(SM/PC)	18533798.8854	11621308.8326	15044255.2095	11925248.4789	11040110.0238	15345943.3025	17711497.0618	14439900.7154	12701468.8438	21729259.7574	13117395.6797	15245833.7709	13620001.8799	13989484.3216	9849488.6191	13121075.4113	100933.6411
692.5	184.00	Positive	Confirmed and Common Results	PC O-30:0	(SM/PC)	118356833.9228	74289743.9182	95945258.1513	72501758.3426	85847344.9244	123058776.5583	130794178.6467	105028266.4959	94325491.1605	159913501.4477	90346793.2476	109571374.0355	60855306.7799	59058827.6874	40268955.8329	54828376.3017	671136.7098
702.5	184.00	Positive	Confirmed and Common Results	PC 30:2	(SM/PC)	3693479.3462	2352431.8119	3097379.8204	2359911.4838	1507527.456	2146315.9494	2048869.2565	2005835.1109	2607736.3738	4304886.008	2949266.1291	2914308.11	1918090.9298	1833875.1586	1239206.2829	1628326.6083	38955.9374
704.6	184.00	Positive	Confirmed and Common Results	PC 30:1	(SM/PC)	86285013.2881	56654699.9309	70375812.2694	55077163.0281	45167671.5359	62433506.2525	67085499.1236	54991814.1473	71757294.8975	117356686.9082	68461742.441	80157720.4649	50773528.5818	47988339.8962	33307431.8611	42405485.4704	25202.7306
706.5	184.00	Positive	Confirmed and Common Results	PC 30:0	(SM/PC)	260986511.4228	167555339.6703	213120337.0537	159821587.2505	203444635.3332	287852966.4199	314675262.1429	252001983.1093	226195255.9098	373662688.419	215757753.7381	260257714.2524	206022541.7086	203801484.6634	139403411.1109	186648893.7989	582558.3174
716.5	184.00	Positive	Confirmed and Common Results	PC O-32:2	(SM/PC)	20384468.5535	13385033.6116	16943116.0051	13346264.2775	11051859.0895	15497461.499	17454608.3829	13926291.0069	14414612.2808	25429386.9587	15448876.5818	18427778.6833	16997132.2326	17770279.4604	11579707.1686	17214926.9839	126988.3969
718.6	184.00	Positive	Confirmed and Common Results	PC O-32:1	(SM/PC)	274614566.2898	171415787.8235	223362351.97	170793627.3892	167252647.3946	231523379.3122	248502399.9415	198937569.5024	217373246.5438	380228941.1668	208771561.9667	250755023.7533	156350617.7141	161870209.177	105480206.3246	146754538.0774	0
720.6	184.00	Positive	Confirmed and Common Results	PC O-32:0	(SM/PC)	246532784.1173	160104763.3334	202634097.1799	153110283.5611	168324669.2886	234777061.1175	254191433.1956	203583892.3684	204390767.964	359624779.4812	200155226.3288	238787343.6361	146197346.9181	145314483.4799	99588208.4634	132785164.5263	0
728.5	184.00	Positive	Confirmed and Common Results	PC 32:3	(SM/PC)	2404993.3673	1521711.3387	1801037.5938	1395848.4544	904575.6212	1186576.2974	1320609.5302	1133767.8647	1664137.6136	2479105.7035	1625967.1129	1708092.7356	1238191.771	1169070.8373	839210.8829	1000254.099	94858.3979
730.6	184.00	Positive	Confirmed and Common Results	PC 32:2	(SM/PC)	99164963.6127	64747465.8019	81006743.7121	63067237.8492	35926983.6616	48513567.9492	52814274.4218	42695618.2896	72072471.2234	115595244.5238	67637552.7821	78503427.2999	42235846.605	41568699.998	27043497.5171	37926423.7072	47854.2287
732.6	184.00	Positive	Confirmed and Common Results	PC 32:1	(SM/PC)	736140640.4719	476900449.4706	596397414.547	452532164.375	435213423.0086	612736094.1992	663776320.6058	527507935.6881	577496015.5935	943112348.0344	547871029.8717	641314421.5151	528752876.2832	523971279.2852	351312600.9119	469558433.5037	52233.7684
734.6	184.00	Positive	Confirmed and Common Results	PC 32:0	(SM/PC)	214065060.0643	138954012.9587	173642822.7373	131610390.286	163235632.826	233393000.4149	250165052.4882	198596314.7579	170130868.9394	283640578.318	164220084.5137	193620844.106	179646487.0013	177517259.3059	121924976.6094	161744876.282	134314.2054
742.5	184.00	Positive	Confirmed and Common Results	PC O-34:3	(SM/PC)	11892173.6091	7669460.3895	9719800.4682	7628520.7204	5756616.3439	7947988.6095	8947338.7566	7052100.7159	8357275.6436	15667109.2965	9284491.8438	10614013.6762	7394304.6246	7611332.0892	5250594.9254	7394396.7625	63817.7584
744.6	184.00	Positive	Confirmed and Common Results	PC O-34:2	(SM/PC)	130450432.5578	83671103.522	105654016.7428	83063448.9532	73390438.176	98767746.8641	106373621.9542	85174476.0463	94334485.1285	163647384.5972	91396397.5348	107604296.246	63801230.4939	65212146.6097	43149508.7496	61720013.5592	63544.5644
746.6	184.00	Positive	Confirmed and Common Results	PC O-34:1	(SM/PC)	577605469.3437	370310963.4183	467511361.7551	353925384.6267	353512219.9784	482995075.6903	514354575.5854	413667987.9661	389627764.9592	685584987.7693	372285621.031	439667621.6606	263798797.3693	263275681.7954	172697388.5292	245043734.4017	67569.1217
748.6	184.00	Positive	Confirmed and Common Results	PC O-34:0	(SM/PC)	51680553.0147	32866253.5294	40540250.6487	30043912.0842	39990702.3593	56113977.5208	59188558.2556	47701929.2289	38883806.7394	64137618.9453	36098921.5742	43655260.7934	45077714.65	44178164.6977	29409672.5786	39851714.9457	45312.7031
756.6	184.00	Positive	Confirmed and Common Results	PC 34:3	(SM/PC)	26286715.3899	16378265.7206	21270532.7574	17217502.286	9467712.6673	13690444.7793	15176781.8397	11167846.5924	17885997.3646	29875086.0955	17463852.8704	21539032.4075	10262573.1375	11584689.6994	6958318.5285	9664080.7481	86196.3
758.6	184.00	Positive	Confirmed and Common Results	PC 34:2	(SM/PC)	569771804.5	367936309.2138	461108094.2639	355081337.0416	254765367.5811	343534613.7701	377468647.5439	299665364.2166	401972526.2293	657473182.282	380491353.0993	441779034.2472	250612788.4571	246938505.3026	164903900.0744	228177972.7356	197191.4049
760.6	184.00	Positive	Confirmed and Common Results	PC 34:1	(SM/PC)	1178809854.2107	764816576.0587	946223780.5604	711979700.1395	786832482.1617	1084081238.8397	1183008832.684	938939303.0341	848480621.052	1386284395.4318	786282912.7648	935285291.216	841465729.8396	821995460.55	557052157.0826	746097779.6523	210646.4239
762.6	184.00	Positive	Confirmed and Common Results	PC 34:0	(SM/PC)	11756325.2937	5792703.0681	8874080.0839	7772124.6713	11838703.2727	15691980.1314	15199161.3654	12712621.2481	10629624.1197	16311944.9254	9291327.9463	12495738.8066	11207739.9131	11119281.1311	6839132.222	11007110.0259	90111.9515
764.6	184.00	Positive	Confirmed and Common Results	PC O-36:6	(SM/PC)	4773894.8211	2860134.7228	3915471.2204	2903490.3027	3095046.5504	4852694.4087	4668085.0836	3869906.4952	3839061.948	5772902.5198	3753831.9168	4215161.8173	3770694.8561	4041157.1994	2249985.4309	2986414.5825	72307.9241
766.6	184.00	Positive	Confirmed and Common Results	PC O-36:5	(SM/PC)	7308601.9924	4526944.6777	5710794.3523	4424221.3716	4601756.8979	6206492.4003	6126289.3127	5161099.1183	4676460.6088	8052333.3217	4799994.0626	5750311.1401	5572854.1669	5793355.7734	3810520.0863	5645438.9011	24565.9816
768.6	184.00	Positive	Confirmed and Common Results	PC O-36:4	(SM/PC)	23051775.3667	14146365.9997	18107002.9593	14327054.9484	14260084.2559	19035925.5068	19164603.7421	16051083.692	14749860.6461	25779826.284	14097922.4763	16856555.2885	12296000.8051	12024619.4483	8211762.5706	11569504.3862	30360.8676
770.6	184.00	Positive	Confirmed and Common Results	PC O-36:3	(SM/PC)	36124251.1054	22987783.2312	28272636.2627	23244416.5586	18829115.4556	26026074.2492	28159489.1091	22665729.5756	24793078.3437	43622627.535	24299802.3387	29328342.9777	19448364.4826	19685053.122	13119606.7603	18754517.4726	45284.3445
772.6	184.00	Positive	Confirmed and Common Results	PC O-36:2	(SM/PC)	135187461.9531	84939956.7248	107374504.4461	83369528.7451	90997602.9134	122491336.7291	130519955.3465	104730214.4984	88926307.3104	151547727.219	82973400.6654	99126526.5574	63807931.3567	62974441.0782	42152249.4368	59680029.1873	40266.5836
774.6	184.00	Positive	Confirmed and Common Results	PC O-36:1	(SM/PC)	68139370.017	42601823.6026	51895631.1964	39873499.3103	48611762.5788	66375522.5337	70824168.8939	58256361.7537	45627201.4289	74333124.5344	42134730.5285	48952622.4886	44976430.7745	44328223.9038	29284560.503	40410278.6055	41315.4029
776.6	184.00	Positive	Confirmed and Common Results	PC O-36:0	(SM/PC)	9862822.874	5525750.5745	7149548.7599	5190591.776	4977154.5543	7642019.9402	7145180.6379	6006938.8875	6573513.2039	10509473.5169	6149696.4943	7783460.9148	6009489.3656	5563088.6004	3326860.1717	4301946.3944	80423.7468
778.6	184.00	Positive	Confirmed and Common Results	PC 36:6	(SM/PC)	3285128.2732	1678731.3964	2679957.3099	2569887.5855	1835351.0566	3336374.6696	3434597.8187	2157859.3128	2042715.0549	3286113.7191	2370186.0043	2676959.7389	2044318.8541	2681830.1979	1241457.0645	1746417.3546	8892.3456
780.6	184.00	Positive	Confirmed and Common Results	PC 36:5	(SM/PC)	7880203.6873	4332989.0435	6734609.688	4358993.6502	4723004.4778	6670434.6148	7619785.9726	5528662.9325	4222780.8996	7360392.3153	4935523.8128	6248501.7575	5145364.4217	5496963.9868	3485558.2616	4647897.8178	57699.142
782.6	184.00	Positive	Confirmed and Common Results	PC 36:4	(SM/PC)	21588420.3745	13275866.8737	18076169.6859	13280862.771	14036012.1742	18964391.0783	22093349.418	16626712.0245	13261939.9865	21700865.8817	13180525.0684	15482145.1488	15509651.118	16022756.5783	11210426.5035	14350551.5516	92904.097
784.6	184.00	Positive	Confirmed and Common Results	PC 36:3	(SM/PC)	80315051.1368	51238440.1247	63989478.4561	49728950.7909	37450682.6339	50167565.5844	54407389.1371	43155073.0275	55115751.5965	90244193.3247	51180942.9532	59581312.7769	39570395.5488	39540797.5589	25766803.4484	35648224.7865	70504.2956
786.6	184.00	Positive	Confirmed and Common Results	PC 36:2	(SM/PC)	764384866.838	493759609.121	608241182.8525	467255945.8388	458442786.4041	621546534.7025	673949747.0374	535544784.6544	497858731.5227	805899319.533	458776679.386	541951232.7592	389793709.4809	389607741.6649	253931927.8452	356763295.4136	67349.5731
788.6	184.00	Positive	Confirmed and Common Results	PC 36:1	(SM/PC)	83420496.2383	52077697.087	63962070.4816	49847924.6204	62990877.5721	87839082.0999	94336071.6222	74610615.2383	50398973.216	84147705.8122	50708027.1191	58423492.362	54206366.9973	53149299.6532	35900366.7562	48910406.856	71099.3575
790.6	184.00	Positive	Confirmed and Common Results	PC 36:0	(SM/PC)	7601986.1887	3994320.125	5936615.7411	4584421.0876	4294486.7473	7321689.6846	6949893.1395	6022563.7684	4545023.0721	7606257.1485	4968710.7514	6105613.8286	5099269.4886	5488578.9765	2997929.0525	4675343.2396	0
792.6	184.00	Positive	Confirmed and Common Results	PC O-38:6	(SM/PC)	16334972.9578	9799991.2574	12780604.1688	10454312.2627	9592557.363	13809013.1652	14082735.6667	11607071.7704	8603808.9221	14921923.2162	8566329.7849	10329680.1727	9046835.5181	9382301.2165	5853084.26	8297987.2071	46514.4118
794.6	184.00	Positive	Confirmed and Common Results	PC O-38:5	(SM/PC)	24992943.9756	15110368.2376	19728438.9232	15532094.0254	15153681.164	20667465.5792	21197929.6911	16920449.1456	12510324.8203	22302232.9732	11584870.7897	14492711.8153	12211014.7646	12217745.056	7818602.22	11579097.8118	20274.6398
796.6	184.00	Positive	Confirmed and Common Results	PC O-38:4	(SM/PC)	9204608.7575	5973133.0159	7424076.3851	5788352.4391	5847649.2228	7809648.8343	8459484.3365	6721495.9398	5848109.2841	9809743.9834	5385620.401	6516867.4499	5185092.062	5517717.8555	3524995.322	4774820.2529	56487.2114
798.6	184.00	Positive	Confirmed and Common Results	PC O-38:3	(SM/PC)	8553653.5099	5578708.5705	6686759.0366	5276684.6603	4331010.5781	5704484.6169	6136103.2594	4707541.8917	5518134.087	9402357.4638	5341990.0288	6263425.7036	4344642.5253	4645169.5831	3004938.9018	3875552.6502	43746.7316
800.6	184.00	Positive	Confirmed and Common Results	PC O-38:2	(SM/PC)	21064568.9752	13709600.7981	16770456.7329	12980524.4017	11798093.3529	15422325.6752	16719724.9769	13536234.5774	13764699.089	22786144.611	12976753.8531	15092130.613	10347054.7168	10707885.7446	7358313.8721	9536280.8477	34296.5264
802.6	184.00	Positive	Confirmed and Common Results	PC O-38:1	(SM/PC)	8512006.3638	5505902.9448	6465375.0613	5015618.1712	4826751.7254	6298275.7268	6556620.401	5082809.6843	5127392.898	8604766.2728	4836165.938	5612493.6589	4437992.171	4473041.3562	2597028.9846	3979706.0058	0
804.6	184.00	Positive	Confirmed and Common Results	PC 38:7	(SM/PC)	4806284.2682	2644274.603	3560763.6034	3077666.6344	2327061.0286	3941481.6072	3960839.3647	3268884.8104	2973089.3706	4887336.8117	3468855.2811	3654589.3438	2951216.7862	3218196.4566	1564146.5461	2197508.5321	53144.345
806.6	184.00	Positive	Confirmed and Common Results	PC 38:6	(SM/PC)	11041088.8988	6941533.7207	8870384.5615	7118009.6618	7846549.2586	10597163.1791	11344317.6666	9642617.4115	5610513.1572	9535355.7146	5633535.2089	6549098.6702	7937385.7364	7748821.4023	4879783.0805	7081346.7081	38392.1466
808.6	184.00	Positive	Confirmed and Common Results	PC 38:5	(SM/PC)	20212201.1118	12869914.7337	16151365.4317	13162306.6883	14345440.121	18794707.0789	19518734.4999	15737412.6404	10659191.8803	17796428.1944	10545060.1267	12381326.1344	14278525.2518	13805036.269	8839141.9343	12548051.8495	48630.5994
810.6	184.00	Positive	Confirmed and Common Results	PC 38:4	(SM/PC)	12488342.6566	8214377.7082	10263890.0957	8017259.0666	8723814.8397	11233288.3375	12159220.3179	9486684.7789	7062306.3608	11169530.1325	6798014.9496	7677004.6907	7630241.0822	7641077.5427	5241578.8581	6801845.7419	53148.4085
812.6	184.00	Positive	Confirmed and Common Results	PC 38:3	(SM/PC)	17128754.4245	11083081.2201	13235162.937	11081474.4028	8319713.6458	10306194.6713	11200396.1245	9512177.2887	9263568.6401	15840883.8236	9150497.0272	10646672.0092	8264841.6796	8222788.9156	5475886.6941	7525552.5104	56787.3225
