C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_pl_PE P16_0_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	6	7	8	9	10	11	12	13	14	15	16	17	18
662.6	364.20	Positive	Confirmed and Common Results	IS PE P-16:0/15:0	(-O-16:1+C2H8NO3P)	3808000	5338351.3503	5317500	4068485.6904	2835056.0617	2370226.2198	4479401.2838	4754639.1295	4216492.7897	3557921.7534	4105411.6256	3915856.3935	4932897.774	5055417.3552	6280344.5086	5383728.7864	7322675.5339
718.6	364.20	Positive	Confirmed and Common Results	IS PE P-16:0/19:0	(-O-16:1+C2H8NO3P)	4636054.8312	6985000	6441375	5162627.5041	3647636.758	2685257.3183	5565478.9996	6019426.218	5080839.8975	4475393.4713	5172491.2735	4710110.2208	6267597.0385	6203006.9149	7629114.3097	6640639.916	9348616.4767
802.6	364.20	Positive	Confirmed and Common Results	IS PE P-16:0/25:0	(-O-16:1+C2H8NO3P)	5243184.4665	7899929.8073	7375125	5458132.531	4176425.499	3303129.0732	5567782.7491	6518938.1468	5891797.6419	5238701.6797	5779621.6946	5215664.3929	6757448.101	6173392.2201	8029125.8929	7208630.4657	10152659.2939
674.6	364.20	Positive	Confirmed and Common Results	PE P-16:0/16:1	(-O-16:1+C2H8NO3P)	3248935.472	4245840.3384	4071197.3604	3266958.8258	3701872.1373	2926625	5448923.3035	5199909.8735	3728459.9412	3646379.3012	3809992.7077	3475746.2355	3227131.7602	3208994.1843	3312898.7959	3507398.826	41918.8608
700.5	364.20	Positive	Confirmed and Common Results	PE P-16:0/18:2	(-O-16:1+C2H8NO3P)	1432396.2663	2086058.3222	1782625	1581500.3098	1695419.936	1366020.7555	2352059.4862	2413670.1869	1541138.328	1719549.3208	1702445.8116	1549933.3293	1678490.5772	1621747.5668	1879530.3065	1859694.4883	85422.3276
702.5	364.20	Positive	Confirmed and Common Results	PE P-16:0/18:1	(-O-16:1+C2H8NO3P)	13567125	18789399.6698	17671124.0608	14567905.3854	15253785.1926	12037889.9135	21864105.4098	22267057.3908	12373136.2214	12596066.1217	12019650.0525	11587876.3207	13275009.61	13475161.1873	14319755.4225	14314377.371	27594.2249
722.6	364.20	Positive	Confirmed and Common Results	PE P-16:0/20:5	(-O-16:1+C2H8NO3P)	1623500	2205052.1455	2181347.6373	1868474.6483	1812857.4781	1445054.1913	2443983.5648	2644405.6457	1791413.7134	1811672.5308	1965788.2927	1680906.3342	2279699.484	2575018.0126	2336046.2538	2327888.6104	150250.0803
724.6	364.20	Positive	Confirmed and Common Results	PE P-16:0/20:4	(-O-16:1+C2H8NO3P)	8045861.2839	11482192.9431	10568784.2895	8765375	9386124.6893	8163035.2882	13573117.8513	13738699.3671	7923095.009	8153345.6642	7840741.5924	7421838.3928	11248413.3653	10869520.31	12104893.2051	11846681.2618	34250.987
726.6	364.20	Positive	Confirmed and Common Results	PE P-16:0/20:3	(-O-16:1+C2H8NO3P)	1125350.4276	1468826.7534	1361808.7838	1017477.9054	1374972.416	1031954.893	1947431.416	1787694.6823	1278272.0641	1270951.5656	1281313.7384	1187676.5738	1389905.4136	1508226.9404	1629336.1702	1679870.7459	8646.6325
728.6	364.20	Positive	Confirmed and Common Results	PE P-16:0/20:2	(-O-16:1+C2H8NO3P)	560227.4825	866908.7271	775496.7108	685053.0578	401469.4505	369788.0147	643243.3348	653573.7297	662690.9809	523782.189	711512.7048	524347.6521	606418.0068	563372.8057	643742.6162	695825.4421	10019.1449
730.6	364.20	Positive	Confirmed and Common Results	PE P-16:0/20:1	(-O-16:1+C2H8NO3P)	891377.1691	1246996.3623	1197673.7423	945186.4622	686249.8864	595668.6071	1103088.0034	955991.1548	823806.4863	830619.8648	884725.8479	816074.3537	830981.8785	856373.5182	894704.0688	920848.6673	34025.0182
748.5	364.20	Positive	Confirmed and Common Results	PE P-16:0/22:6	(-O-16:1+C2H8NO3P)	4322715.0846	6167125	5648847.6938	4564125	5020000	4145062.2056	6892000.3206	6993625	3802187.0067	3967767.9805	3725256.2473	3729636.7315	5094796.6918	4883313.1332	5320666.765	5451420.1183	13189.0196
750.6	364.20	Positive	Confirmed and Common Results	PE P-16:0/22:5	(-O-16:1+C2H8NO3P)	4787031.3348	6149690.8587	5848581.7113	4919346.9651	4636292.3701	3551849.1419	6348319.7874	6563614.7925	4049280.5562	4050082.6229	4010011.8458	3722109.0683	5104183.0143	5227727.7288	5515570.5238	5466681.0263	69982.838
752.6	364.20	Positive	Confirmed and Common Results	PE P-16:0/22:4	(-O-16:1+C2H8NO3P)	1177538.2305	1878047.3222	1555823.2887	1360556.6298	850088.3226	722125.7707	1229628.5835	1243198.2933	1092629.5375	1023742.7186	1094306.2821	1125532.4432	1184569.6013	1217423.7212	1189377.6325	1193680.2839	15780.701
754.6	364.20	Positive	Confirmed and Common Results	PE P-16:0/22:3	(-O-16:1+C2H8NO3P)	330309.9505	525670.2158	552465.607	590705.7596	177572.5967	212042.9977	338108.7853	317977.822	330507.8322	265224.7973	221147.8259	378140.6922	355937.3984	395388.4136	284470.6838	384959.1025	100358.3287
756.6	364.20	Positive	Confirmed and Common Results	PE P-16:0/22:2	(-O-16:1+C2H8NO3P)	597646.7124	885948.5733	803993.1037	726842.6003	373081.8476	313632.9955	571251.5559	552311.8202	704709.1557	639956.0546	672254.4856	690751.233	809378.5346	931031.928	942252.1182	897969.1865	17183.5261
758.6	364.20	Positive	Confirmed and Common Results	PE P-16:0/22:1	(-O-16:1+C2H8NO3P)	44045.731	85969.7274	59736.9154	71724.9618	41528.0684	43764.0756	56856.8686	29291.4864	75750.7205	25641.1782	61466.0362	55434.0187	59420.6888	45334.3069	38513.6418	40042.9623	15728.1732
