C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_PE_Controls_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	9
632.5	141.00	Positive	Confirmed and Common Results	IS PE 28:2	(-PE)	77983003.1298	54671750.7989	63778299.2741	51212298.9033	48631011.108	65244125	81118460.4288	67901165.7464	84111191.31	75089316.8898	78981750	81911215.8322	89207513.8542	85727542.6023	69070336.3083	63152627.1062	67650500
800.7	141.00	Positive	Confirmed and Common Results	IS PE 40:2	(-PE)	37097795.6441	29138704.1512	31940011.1481	26427855.4968	24943130.6736	32687040.2097	39670084.5604	33968483.3112	39714107.0141	38093525.1383	36359954.2516	38294004.1893	42546177.9198	39547697.0178	32612049.9595	31258000.7574	31113093.2467
856.7	141.00	Positive	Confirmed and Common Results	IS PE 44:2	(-PE)	25130908.7627	19823680.2244	21051625	17883556.9272	17053000	21569518.5569	27558693.0927	22568209.9679	27544008.607	25488625	24687288.9776	26995750	27690512.9735	27107965.1214	21497125	20868079.1861	22474500
688.5	141.00	Positive	Confirmed and Common Results	PE 32:2	(-PE)	6360805.0466	4566486.4479	4834229.7884	3960014.8044	3117488.072	3867119.7433	5133410.6124	4077755.0332	7523437.7683	7471419.427	6958093.9872	7381555.3406	2026357.0325	1963000	1370860.7494	1579657.2064	208620.9072
690.6	141.00	Positive	Confirmed and Common Results	PE 32:1	(-PE)	42630047.6386	28608520.8151	32745770.6894	25418595.4283	22305320.6053	28404272.3251	36536012.5291	29892284.7598	51276250.5657	51138334.3846	47949749.657	49946242.0248	22187404.8957	21512496.473	15864058.1044	17803345.1847	323910.4236
700.5	141.00	Positive	Confirmed and Common Results	PE O-34:3	(-PE)	2041423.6796	1654805.1419	1657820.2773	1449192.1931	1809242.4455	2393804.7258	3411022.4605	2784669.5354	1983633.4077	2102604.4206	2120908.4985	2142480.6305	1397867.1464	1358151.2258	1021545.4699	1202503.2613	116691.1009
702.6	141.00	Positive	Confirmed and Common Results	PE O-34:2	(-PE)	10972674.037	7521443.1531	8281895.6	7586912.8132	9029488.5475	11452203.8782	15517700.8914	12906250.3003	8368840.1701	9279523.9232	8801375.9595	9792855.4395	6731968.7832	6748002.5467	4877233.3337	5792541.7448	0
704.6	141.00	Positive	Confirmed and Common Results	PE O-34:1	(-PE)	9863847.8414	6943411.4081	7639874.7225	6015428.9026	13742953.6947	17710373.7176	21643822.261	18191771.7093	10761938.0608	11383498.7106	10222860.4038	10448871.4376	6163537.1406	6203994.1365	4224057.5502	4775993.3014	170769.5831
716.5	141.00	Positive	Confirmed and Common Results	PE 34:2	(-PE)	74465225.622	49971174.9752	57898544.3699	45782373.0203	39075555.0127	50385986.1364	65236208.7718	52314763.4319	81616719.4119	81268529.5093	75172838.807	80414422.2636	28976540.6793	28686087.5521	20459287.626	23748487.5779	198052.0232
718.6	141.00	Positive	Confirmed and Common Results	PE 34:1	(-PE)	124989938.1808	81580335.0701	97003603.3471	76566933.0167	69924977.0815	89668841.0294	116062926.9546	93239109.8746	132834804.194	135003922.9962	123706492.5078	133006986.3637	80098347.4795	78384433.0102	56119130.2499	65960483.3107	120084.9609
722.6	141.00	Positive	Confirmed and Common Results	PE O-36:6	(-PE)	883499.9996	720039.2701	724713.4677	740857.0523	841739.3932	1049715.2158	1244867.8957	1127561.3072	852249.8407	891562.1673	852288.4811	965795.2279	1040635.6168	952998.2255	715743.8132	809516.9094	44894.335
724.6	141.00	Positive	Confirmed and Common Results	PE O-36:5	(-PE)	3886444.6476	2715896.1057	3002167.0948	2947021.4819	3710181.0712	4679094.2125	6756422.1122	5229058.0032	3025901.1487	3493955.2225	3205489.0842	3507229.5654	4353570.6783	4211965.2338	2900106.4288	3772681.1643	273432.6133
726.6	141.00	Positive	Confirmed and Common Results	PE O-36:4	(-PE)	1619378.7802	1231900.8367	1102463.5847	1147056.977	3133998.8433	3748973.2941	5263310.8739	4000136.0342	1601101.5365	1649629.4407	1446047.5725	1655484.8354	1083464.1431	1212114.5277	820995.1673	917760.7347	0
728.6	141.00	Positive	Confirmed and Common Results	PE O-36:3	(-PE)	5846393.7074	4194626.654	4436194.2294	3962626.4951	5670889.1416	7137046.6331	9775808.2452	7839456.6333	4410488.2456	4894598.8417	4881100.0623	4972851.4755	3401442.0966	3712998.5724	2640583.679	3431813.9757	99596.0288
730.6	141.00	Positive	Confirmed and Common Results	PE O-36:2	(-PE)	9717904.423	6748260.7508	7516323.8732	6276342.6089	10155550.3501	12418959.3611	16541614.791	13044750.2986	10014795.3207	10058995.6444	9150970.9494	9832537.4193	5653852.7805	5489960.1036	3923315.5486	4976605.1179	118587.2567
732.6	141.00	Positive	Confirmed and Common Results	PE O-36:1	(-PE)	8564832.9129	5698931.3928	6642993.9866	5128518.215	7901903.0698	9776843.5494	12803860.285	10541742.5644	7914861.2482	8465220.4948	7147393.8938	8034231.9175	7336475.3729	7159956.6768	5443095.0016	5874822.7032	0
738.6	141.00	Positive	Confirmed and Common Results	PE 36:5	(-PE)	2421238.3484	1733267.078	1930915.6658	1438083.4048	1602439.9536	2006263.0236	2872516.9098	2205238.4	2344668.5304	2263884.8532	2172657.9754	2416674.3476	1533973.1186	1510824.5803	1030569.108	1252519.5623	105112.0793
740.6	141.00	Positive	Confirmed and Common Results	PE 36:4	(-PE)	8113872.3788	6003857.8273	6588603.9103	5376183.7117	5844282.3123	7195672.2564	9356215.6674	7547750.4527	9148629.8756	8931239.3455	8011573.476	8988415.3894	5423327.3924	5473969.2476	3873676.38	4502557.1132	108716.8763
742.6	141.00	Positive	Confirmed and Common Results	PE 36:3	(-PE)	16835856.8886	11775274.7257	13399261.4214	10849708.1892	10437549.2728	12678919.6467	16415380.6503	13788253.8581	17889412.836	18081223.3869	16076571.0044	18116391.1197	9043244.7974	8178551.0862	5557952.2834	7072606.6039	115146.5101
744.6	141.00	Positive	Confirmed and Common Results	PE 36:2	(-PE)	183872976.0811	124211035.2291	144244346.9444	114380677.4122	114863679.5382	144689940.1711	187555012.5163	153146656.344	173984716.5009	173558713.8663	157627319.728	172854694.3779	99007709.0604	95057068.6543	68658316.913	80041023.3633	107953.4894
746.6	141.00	Positive	Confirmed and Common Results	PE 36:1	(-PE)	52418037.8756	35733873.3257	41577602.3428	32250047.2382	33460450.4013	43000104.2608	55447373.7148	44451666.7642	48822935.2214	49411332.5566	45542371.4593	49114291.2236	59942297.5657	56317958.7573	40666032.0772	47812720.5765	153044.8428
748.6	141.00	Positive	Confirmed and Common Results	PE 36:0	(-PE)	2436814.9918	1800591.4854	1948544.4293	1968375.9616	2264548.3796	2792188.917	3849149.8722	2714652.5913	1757651.0412	2462924.4831	1896121.1171	2139207.3521	2150083.7157	1894804.7501	1570841.5438	1497439.082	67292.1138
750.6	141.00	Positive	Confirmed and Common Results	PE O-38:6	(-PE)	4693130.051	3254337.4711	3777614.6077	3202764.0471	5296173.9916	6586381.708	9345481.435	7356046.1069	3616912.6223	3939388.1918	4221828.682	4428060.5165	4340538.8048	4324770.8626	3059330.944	3637036.5999	148651.4105
