C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_PG_Controls_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	9
680.4	189.00	Positive	Confirmed and Common Results	IS PG 28:2	(-PG (NH4))	30469941.9532	23655002.4841	26103765.3355	24650285.4607	21398920.689	28291020.0397	32350244.733	28054621.3188	30724372.3506	24389084.9491	30979982.4662	28974887.1147	34228465.3547	31137001.7332	26017394.3848	22348446.702	19194250
848.6	189.00	Positive	Confirmed and Common Results	IS PG 40:2	(-PG (NH4))	36042584.1259	29455838.8996	31422087.4654	29689947.7721	25484832.3207	32680037.9983	36981642.099	32471092.3762	33865045.3386	29547237.4598	33737947.4093	31912040.4414	37553714.254	35761693.3992	28278406.262	26327501.6372	23951564.2664
904.7	189.00	Positive	Confirmed and Common Results	IS PG 44:2	(-PG (NH4))	29234043.3512	23929603.9359	25736351.723	24152750.8653	20822625	27580415.0658	30456341.5524	26812668.0684	28357875	24536772.3716	28173783.0335	27690878.9686	30429000	29783805.5419	23298015.6823	22366754.8197	19443489.4
710.5	189.00	Positive	Confirmed and Common Results	PG 30:1	(-PG (NH4))	472811.8245	296793.2348	191475.3941	296499.5654	344125	231189.4595	229052.9211	222818.2798	332454.8947	306047.0701	378177.0405	350711.5082	195097.9248	150633.2068	141047.9503	142628.7601	73975.3043
712.6	189.00	Positive	Confirmed and Common Results	PG 30:0	(-PG (NH4))	515544.0354	398964.2358	396274.6183	442638.3771	562942.0995	450616.2038	434713.77	469782.9054	696341.9176	745750	642577.8063	638600.749	555653.4098	327678.9055	341583.0993	380181.7135	197725.2533
724.7	189.00	Positive	Confirmed and Common Results	PG O-32:1	(-PG (NH4))	107393.3379	181544.5463	106442.5489	140798.8734	153295.7506	110000.9675	0	142244.4632	131948.4515	155743.6232	154750	154871.7258	88352.1634	84684.0155	107969.7844	102066.2329	0
726.7	189.00	Positive	Confirmed and Common Results	PG O-32:0	(-PG (NH4))	242183.5924	197215.9852	133645.0736	171375.2187	209625.2793	182013.9403	154102.5254	126179.5211	143915.6372	247338.5693	239731.2014	223191.1915	189206.6903	154976.34	135889.6374	160075.3136	110099.9304
736.5	189.00	Positive	Confirmed and Common Results	PG 32:2	(-PG (NH4))	374274.2518	322302.2987	395683.8186	333212.664	266340.2567	356719.4077	459617.8674	385300.2234	432212.8452	483267.3442	474790.0768	423787.5333	241405.8834	235372.1863	165723.1141	167191.2082	53001.9754
738.5	189.00	Positive	Confirmed and Common Results	PG 32:1	(-PG (NH4))	2232156.8761	1556392.1238	1825161.0981	1632547.9785	1627760.8449	2005166.3342	2302259.0397	2091687.8423	2980710.9416	2774633.6809	2879537.7493	2781358.4552	2377932.1922	1783631.3794	1699057.6339	1481524.6768	195568.3039
740.6	189.00	Positive	Confirmed and Common Results	PG 32:0	(-PG (NH4))	961084.0401	687248.2417	851518.0256	858259.6328	887820.2963	750367.3415	821565.0667	761053.3241	1480176.2753	1395016.9231	1360855.8626	1445406.847	818448.5899	738182.5538	491058.6346	684752.1846	158170.1015
750.6	189.00	Positive	Confirmed and Common Results	PG O-34:2	(-PG (NH4))	235719.7447	233626.9797	173180.3324	241459.7111	210958.327	190645.2962	216144.4562	193681.0498	217596.4181	248393.0269	154282.5994	184843.0611	221250	180929.8365	108250.3201	174974.69	165975.6187
752.6	189.00	Positive	Confirmed and Common Results	PG O-34:1	(-PG (NH4))	494911.2381	401300.4724	360384.5856	430032.3115	407258.5355	367130.3927	479043.5732	383839.554	455496.5526	551717.5448	490612.6496	516739.9506	590385.4512	518976.5414	285586.7092	388145.9243	134743.999
754.5	189.00	Positive	Confirmed and Common Results	PG O-34:0	(-PG (NH4))	218785.6293	199698.3487	161625.9507	117196.6435	183546.673	196883.5268	164875.9322	133225.7068	149821.5814	156471.3554	190235.0892	151471.7704	158824.8541	166058.9317	141574.679	137008.9016	79327.0502
762.5	189.00	Positive	Confirmed and Common Results	PG 34:3	(-PG (NH4))	320326.509	176182.6224	341258.9549	222846.4236	132815.6417	219136.4184	363909.5178	190990.4026	184385.5052	182865.4967	291106.9311	303510.7669	173200.9958	144329.1862	100820.0513	120189.0449	61158.8636
764.6	189.00	Positive	Confirmed and Common Results	PG 34:2	(-PG (NH4))	2749653.0492	2198793.0637	2685650.1103	2251360.1863	2101155.6859	2525346.5987	3257188.6324	2685303.4897	3193310.0235	2979742.0161	3499729.3534	3174972.4255	2685543.7005	2421866.5741	1783658.1828	2024584.2351	92324.0607
766.6	189.00	Positive	Confirmed and Common Results	PG 34:1	(-PG (NH4))	18751384.2608	13925199.4484	15562433.9998	14140087.3247	17389474.0893	21783772.3374	25293705.2548	21616588.187	25876746.9066	23435548.8154	25586862.152	24238484.3768	24441589.8426	22095634.4409	17198646.0868	18055775.5828	257718.391
768.6	189.00	Positive	Confirmed and Common Results	PG 34:0	(-PG (NH4))	219640.5948	104412.4992	33033.1966	114850.1323	422954.1686	218099.3835	310395.3437	113313.4295	108819.8497	194935.4605	94570.3328	66551.1061	107032.307	303701.8422	65380.301	160746.0459	156226.6207
778.7	189.00	Positive	Confirmed and Common Results	PG O-36:2	(-PG (NH4))	250484.6574	234603.3607	267990.7171	227554.8966	212767.6388	232099.317	275450.4195	263150.1437	252138.5842	271917.6642	200173.3404	205376.8763	208210.9704	304175.9347	169720.1714	214090.7231	0
780.7	189.00	Positive	Confirmed and Common Results	PG O-36:1	(-PG (NH4))	613256.2746	478432.6858	444250.1804	472902.777	624892.4389	737491.158	694077.3771	653590.8284	743879.3784	704903.911	759233.0115	638368.7374	712225.1082	800059.9874	531432.7602	607359.4655	92994.085
788.6	189.00	Positive	Confirmed and Common Results	PG 36:4	(-PG (NH4))	241113.2687	213880.7215	271558.0308	235162.4421	249412.7082	203117.152	254837.3777	207449.7431	222551.4811	201583.4438	237377.0262	249855.1186	212764.8855	175286.587	136004.0265	120611.9177	80860.6492
790.6	189.00	Positive	Confirmed and Common Results	PG 36:3	(-PG (NH4))	504305.3025	391427.1258	391286.8578	326944.3909	316610.3179	469154.3461	516196.1787	357494.1943	339205.558	396683.8334	392071.6633	401480.2927	356720.981	299863.2479	282507.2411	229269.7118	0
792.6	189.00	Positive	Confirmed and Common Results	PG 36:2	(-PG (NH4))	4721246.5991	3667570.463	3948180.5473	3814480.3116	3794261.0912	4744972.1927	5246575.1988	4820511.2489	4789831.4941	4738279.612	4915127.4708	4570486.9695	4343614.9778	3756003.399	2848720.7431	2971598.8534	85324.3303
794.6	189.00	Positive	Confirmed and Common Results	PG 36:1	(-PG (NH4))	4433568.8108	3481327.5952	3470152.8126	3513191.2078	5017889.2499	6268550.8553	7766092.8574	6197569.4046	6238522.037	5844157.4583	6385589.6488	5797749.7997	5484126.2572	4930612.1561	3863590.5854	4038549.275	223426.0883
812.6	189.00	Positive	Confirmed and Common Results	PG 38:6	(-PG (NH4))	124378.7408	153815.0567	0	0	74041.5115	148143.1459	123819.7721	97045.8032	107611.245	124352.6574	56696.2571	86384.6652	117938.2984	72367.7768	79016.8227	76283.5587	98778.0307
814.6	189.00	Positive	Confirmed and Common Results	PG 38:5	(-PG (NH4))	197975.1332	209133.0277	95992.4251	174181.8764	187632.3368	184362.9232	197697.4421	175442.8015	116370.1409	155758.717	121876.0193	130156.3327	156145.4078	149475.0203	119667.9038	121628.4398	80581.3905
816.6	189.00	Positive	Confirmed and Common Results	PG 38:4	(-PG (NH4))	216135.0901	175413.0594	130973.0973	189230.5315	160900.5485	163338.0872	170281.1077	150022.2495	117791.1215	139835.2991	146796.0221	130785.7409	154748.303	138927.0209	107163.0949	103812.4781	70083.8937
818.6	189.00	Positive	Confirmed and Common Results	PG 38:3	(-PG (NH4))	156446.3889	238616.6981	140871.3179	180789.3687	172447.5171	155081.2135	196642.8615	166498.792	126022.9811	208627.8355	126641.0436	168315.1682	194965.0414	141062.5593	107945.8986	107694.0454	84215.445
820.6	189.00	Positive	Confirmed and Common Results	PG 38:2	(-PG (NH4))	338427.7244	343772.2647	274344.8975	423875	231873.8551	335588.9131	270637.0919	284135.2742	254625.0774	342366.1427	244139.0405	323019.5685	223825.3128	226848.8435	181408.7711	177592.666	45450.3701
