C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_PI_37_4_Controls_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	9
890.6	277.00	Positive	Confirmed and Common Results	IS PI 37:4	(PI)	32813875	17448375	20160750	9171625	8966500	35372875	40262125	26440125	20336000	21050500	21115000	27549375	21601500	23048250	27962125	23276875	46901375
826.5	277.00	Positive	Confirmed and Common Results	PI 32:1	(PI)	3696875	1640250	1690375	914875	1568125	5506125	6102000	3924500	2229250	2305000	2035375	3038125	1264875	1226000	1516500	1400500	124625
828.6	277.00	Positive	Confirmed and Common Results	PI 32:0	(PI)	933625	482500	484625	353750	706375	2034750	2361500	1443125	581500	631375	553750	879500	438625	426000	422625	466000	143500
852.6	277.00	Positive	Confirmed and Common Results	PI 34:2	(PI)	24220250	10801000	12613750	5454375	6415375	25282375	30040625	18489250	12043875	12912250	12550250	17550625	7298125	7893250	8283625	8376250	100000
854.6	277.00	Positive	Confirmed and Common Results	PI 34:1	(PI)	26525000	11267000	13550750	6070750	11349750	47405875	56039750	33205875	14757250	15789250	14505250	20538000	10413625	11684250	12940000	12541250	109625
856.6	277.00	Positive	Confirmed and Common Results	PI 34:0	(PI)	3070625	1307000	1529000	715500	1559750	6306750	7483000	4321000	1830375	2052750	1659875	2519625	1346750	1464000	1564375	1641500	98750
864.6	277.00	Positive	Confirmed and Common Results	PI O-36:3	(PI)	293000	229375	233375	141875	172875	284875	266000	268750	195750	194375	165750	183500	115125	104875	129875	113875	71500
866.6	277.00	Positive	Confirmed and Common Results	PI O-36:2	(PI)	2887000	1332875	1516500	782625	953625	3254750	3641750	2476625	1503250	1606750	1500250	1862875	1123000	1181875	1256250	1361250	70875
868.6	277.00	Positive	Confirmed and Common Results	PI O-36:1	(PI)	2715750	1306500	1432875	759375	1114375	4249625	4921875	2774750	1463250	1702250	1424875	2114625	1463500	1583375	1701500	1620125	110875
876.6	277.00	Positive	Confirmed and Common Results	PI 36:4	(PI)	1449000	841375	884875	533875	412875	1185000	1626000	991500	900875	915500	797625	1164250	626500	689125	773125	788625	175250
878.6	277.00	Positive	Confirmed and Common Results	PI 36:3	(PI)	7651000	3756125	4164625	1762000	1947750	6889875	8000250	5162000	4188125	4534875	4172875	5818500	2887500	2797750	3021875	2967000	84500
880.6	277.00	Positive	Confirmed and Common Results	PI 36:2	(PI)	78016875	34757375	40886625	18056125	24123125	98738125	116927625	71768000	39950375	43307250	39987000	56091375	35867875	40264125	42493125	42024250	90250
882.6	277.00	Positive	Confirmed and Common Results	PI 36:1	(PI)	40833875	17831125	20892375	9062625	15372000	63543875	74891250	43980875	24797125	26669375	23771375	34785875	24336000	27509250	30406875	29629375	81375
892.6	277.00	Positive	Confirmed and Common Results	PI O-38:3	(PI)	5392000	2778875	3055125	1475875	1324750	5347375	6119250	4142375	3127625	3112875	3130500	4045500	3268750	3370125	4081125	3562250	5159375
894.6	277.00	Positive	Confirmed and Common Results	PI O-38:2	(PI)	3330875	1786750	1966375	928250	902000	3874125	4351250	2659875	1968000	2174125	1929750	2634500	2184875	2412375	2479250	2846125	179750
902.6	277.00	Positive	Confirmed and Common Results	PI 38:5	(PI)	10955625	5247375	5960500	2898625	2062125	7876000	8749875	5919750	5276750	5538500	5536000	6850500	4545375	4776000	5090750	5066250	0
904.6	277.00	Positive	Confirmed and Common Results	PI 38:4	(PI)	14452875	6807125	7987625	3237500	3286375	12389375	13836000	9141000	7854375	8473000	7782125	10645500	8180250	9191875	9543375	9405500	85250
906.6	277.00	Positive	Confirmed and Common Results	PI 38:3	(PI)	18271750	8563250	10303250	4408500	4136625	16335875	18916125	11931375	9936500	10853125	9831000	13442625	10709000	11267750	12306875	11820625	81750
908.6	277.00	Positive	Confirmed and Common Results	PI 38:2	(PI)	22052750	9978875	11597750	5382000	5685750	23427625	27011750	16682000	12580625	13646125	12401750	17471250	12864000	14410750	15592375	15495125	64125
