C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_PS_Controls_deisotope_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	9
676.4	185.00	Positive	Confirmed and Common Results	IS PS 28:2	(-PS)	43503404.6428	35145702.3265	36206681.3768	28174159.3992	26433505.656	47087695.3659	56942070.1854	46001782.2406	48805415.1387	44924191.2575	46899034.1073	52340756.3645	52178348.3013	53650581.1178	48089652.8847	41660978.4466	46009108.3532
844.6	185.00	Positive	Confirmed and Common Results	IS PS 40:2	(-PS)	22497592.5658	19021107.1705	19552811.238	14231600.1545	12800073.9313	24392563.6006	29253075.2586	23097099.8236	24396624.6301	23704569.1961	22197020.9394	26386929.8286	23567541.4978	24975092.9559	22254908.0058	20194750.0307	20559250
900.7	185.00	Positive	Confirmed and Common Results	IS PS 44:2	(-PS)	9267115.3068	8466628.9279	8615625	6163678.5736	6048058.8473	11383518.9869	13593871.8605	10299832.5654	11381729.1651	10970588.2901	10588500	12224682.6095	11073536.5594	12078187.5355	10557532.1623	10356500	11073509.4034
730.4	185.00	Positive	Confirmed and Common Results	PS 32:3	(-PS)	148653.8832	149000.4767	94501.224	101201.8248	143203.2461	172061.5732	117668.7493	141608.6374	169627.0474	312750	94031.8577	150513.0282	124484.4302	104676.5243	115159.2304	118129.685	179625
732.4	185.00	Positive	Confirmed and Common Results	PS 32:2	(-PS)	1345854.416	922874.9889	920980.9942	837142.217	910943.319	985767.9873	1311455.12	1111623.1576	1890049.8396	858439.1301	1358508.7266	1220954.8034	1641533.5447	1327795.322	1270224.6126	739097.4595	447992.3318
734.5	185.00	Positive	Confirmed and Common Results	PS 32:1	(-PS)	9397585.1855	6813222.6182	7336244.3079	4865036.2722	4869398.2532	8445678.9337	10722946.6295	8111433.9319	9430727.7692	9583728.2614	8643457.0978	10121255.2359	5398891.1822	5657413.5243	4568816.3508	4663323.4873	213306.1834
746.4	185.00	Positive	Confirmed and Common Results	PS O-34:2	(-PS)	360772.7054	388614.7122	347852.4043	233341.994	200055.811	372584.3214	346706.3105	302661.9351	427884.5603	461576.1066	380750	461875	197250	193542.7188	102985.6415	171976.9364	130355.5976
748.6	185.00	Positive	Confirmed and Common Results	PS O-34:1	(-PS)	3761680.1658	2772135.9497	2884007.3982	2094617.8951	1928427.3765	3379357.4558	4295802.3122	3388284.0051	4086706.7127	4175164.2207	3611243.4865	4449245.7014	1780731.511	1862964.994	1428812.4278	1662400.0887	0
760.6	185.00	Positive	Confirmed and Common Results	PS 34:2	(-PS)	8784229.8273	6753026.1736	6852975.2214	4927299.7184	4259283.5741	7273783.42	8998752.4594	6934161.2997	8251482.4242	8401472.9413	7486625.4286	8855675.2606	3745509.456	4051167.0581	3252073.288	3518147.024	174585.0998
