C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_Pos_PS_NL_QTRAP_SM_Controls_TM.txt	Peak Intensities																					
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	1	6	7	8	1	2	3	4	5	6	7	8	9
661.5	184	Positive	Confirmed and Common Results	IS SM 31:1;2	(SM/PC)	174673298.3	111172859	125719493.2	85419226.73	67927848.8	136763300.5	150370806.6	111507439.1	131547221.4	149713392.1	134527764	154780265.7	141650070.1	137436515.4	128288511.2	105751588.3	167107166.2
717.6	184	Positive	Confirmed and Common Results	IS SM 35:1;2	(SM/PC)	201661171.7	134010945.9	146767953.7	95855005.66	72099436.37	155411600.9	175126668.7	131538564.9	147490125.5	179632197	150173875.5	172254431	159383407.2	155110337.4	140272985.5	120375071.5	182263557.8
829.7	184	Positive	Confirmed and Common Results	IS SM 43:1;2	(SM/PC)	110981129.1	73013713.3	76829360.9	50645686.95	39706662.08	84349187.53	96317728.37	70723204.88	82110644.79	100167697.8	80606320.16	92294297.76	87155514.23	82839535.57	75888806.66	64065622.22	101523266.5
701.6	184	Positive	Confirmed and Common Results	SM 34:2;2	(SM/PC)	7199865.214	4212152.695	4908969.131	3317284.965	2069464.383	4125808.899	4912310.54	3524559.008	5735795.163	7227777.145	5313151.649	6212746.65	3571165.569	3436155.244	2890636.672	2863164.358	52573.8175
703.6	184	Positive	Confirmed and Common Results	SM 34:1;2	(SM/PC)	147281403.5	84264839.81	101084294.1	63448364.5	50053403.97	103676669.3	119862391	85876358.7	71111047.36	94023561.58	70921138.53	84070169.22	38084121.32	36742051.62	29886098.21	29869036.68	692293.1008
705.6	184	Positive	Confirmed and Common Results	SM 34:0;2	(SM/PC)	11314667.01	6465610.951	7497731.261	4179192.254	11651071.1	25578365.16	29416671.56	21452298.91	1758849.17	2199750.753	2374064.691	2858028.125	1408869.498	1193806.199	1322817.546	1177943.354	911892.8537
729.6	184	Positive	Confirmed and Common Results	SM 36:2;2	(SM/PC)	4441293.93	2724419.35	3267008.425	1983726.734	1305777.347	2705549.839	2931984.741	2162533.521	2910837.338	3886713.772	2663140.158	3368568.393	2903149.154	2842148.214	2328626.091	2293861.907	370632.4624
731.6	184	Positive	Confirmed and Common Results	SM 36:1;2	(SM/PC)	14770483.64	7677366.419	9539753.604	5858854.106	5407097.881	11455341.05	14038113.67	9380516.987	5847793.982	7235273.114	5748762.841	6966729.474	6364897.133	5968366.035	5540091.702	5052598.292	233137.7922
733.6	184	Positive	Confirmed and Common Results	SM 36:0;2	(SM/PC)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135246.6994
757.6	184	Positive	Confirmed and Common Results	SM 38:2;2	(SM/PC)	3156213.006	1662457.158	2087883.507	1102210.332	791895.5997	1919188.691	2427047.744	1914457.818	1432999.136	2262142.833	1372478.377	1739390.531	1402676.395	1482382.171	937999.9436	980264.214	28136.5353
759.6	184	Positive	Confirmed and Common Results	SM 38:1;2	(SM/PC)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43782.573
761.7	184	Positive	Confirmed and Common Results	SM 38:0;2	(SM/PC)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12942.2845
785.7	184	Positive	Confirmed and Common Results	SM 40:2;2	(SM/PC)	27739601.34	15550586.33	18732398.16	11057210.68	7812051.996	16149984.72	18955129.66	14306140.22	12015345.19	15614808.9	11530247.9	14503362.31	4138994.795	4227330.236	3606294.693	3177694.425	65704.0378
787.7	184	Positive	Confirmed and Common Results	SM 40:1;2	(SM/PC)	8269186.63	934690.9321	3252942.014	2638810.651	258499.8391	3576422.145	4639262.505	5648021.712	2627923.215	0	888885.6592	829946.3091	0	0	0	0	76437.1203
789.7	184	Positive	Confirmed and Common Results	SM 40:0;2	(SM/PC)	0	0	111549.3798	0	372666.706	0	882256.0309	663048.9531	0	0	0	0	0	0	0	0	50880.4216
811.6	184	Positive	Confirmed and Common Results	SM 42:3;2	(SM/PC)	21762740.45	12675873.74	14648129.34	8893691.87	4775056.758	9518991.555	10800841.03	8038611.84	17684300.22	22178002.9	16405451.34	19030730.86	8996513.668	8613518.161	6423176.611	7125716.22	90361.2299
813.6	184	Positive	Confirmed and Common Results	SM 42:2;2	(SM/PC)	150842362.9	86370646.68	99701993.48	60758580.73	47891640.97	96762366.07	111514030.8	81002101.45	65804079.18	87768652.19	63819631.4	75499318.64	24143706.2	23070122.23	18381104.31	19543976.34	54509.0493
815.7	184	Positive	Confirmed and Common Results	SM 42:1;2	(SM/PC)	14015295.82	8388365.886	9831460.683	5552686.828	7288086.65	15920144.04	18123208.74	13200829.25	6888487.667	9653840.83	6998917.966	8802179.247	4226396.572	3763203.126	3244425.489	3081840.831	313547.0457
817.7	184	Positive	Confirmed and Common Results	SM 42:0;2	(SM/PC)	955748.9973	407504.3167	220303.64	235595.8691	359700.8139	1273512.96	1267506.219	1187927.559	594701.6586	703615.1884	370929.4301	479639.8315	161296.8887	308757.1203	251279.9175	114425.8448	23440.9175
