C:\LipidView Data\LV Results\200529_XtrIL_ExampleData_TAG_NL.txt	Peak Intensities																					
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	4	8	1	2	5	6	5	6	7	8	9
771.6	245.3	Positive	Confirmed and Common Results	IS D5-TAG 14:0/16:1/14:0 	(14:0)(-FA 14:0)	49847000	51654875	27251875	48844000	46528500	46157625	26636250	39389750	41115375	43489000	28638750	28748000	42929750	45839000	46388250	42963125	39529750
771.6	271.3	Positive	Confirmed and Common Results	IS D5-TAG 14:0/16:1/14:0 	(16:1)(-FA 16:1)	14537375	14887125	8669375	15500625	14176000	13881125	8438250	11999875	12428375	12765125	8496125	9296500	12690125	12932625	14510750	12730250	11554375
827.7	259.3	Positive	Confirmed and Common Results	IS D5-TAG 15:0/18:1/15:0 	(15:0)(-FA 15:0)	62647625	61718375	32872000	62616750	56742625	56587000	32446625	48343500	51826000	52833500	37048875	34971000	51874500	54132625	56681375	52870125	48234125
827.7	299.3	Positive	Confirmed and Common Results	IS D5-TAG 15:0/18:1/15:0 	(18:1)(-FA 18:1)	18870625	18841125	9406750	17012125	16173875	16968250	9798500	13925000	15307625	15885375	11397000	10575500	15935625	17440500	18615250	16048125	14410750
857.7	273.3	Positive	Confirmed and Common Results	IS D5-TAG 16:0/18:0/16:0 	(16:0)(-FA 16:0)	61272500	62232375	34069750	58951250	57956750	54477625	33166125	43398750	51631000	52557250	36427375	34918250	49880250	52680625	55903500	51857250	49079625
857.7	301.3	Positive	Confirmed and Common Results	IS D5-TAG 16:0/18:0/16:0 	(18:0)(-FA 18:0)	17777625	18164375	10023250	16948750	15877125	15651125	9728375	11783000	14692000	16229250	10280125	9750375	15100375	16266875	17330125	15769625	14197250
858	217.3	Positive	Confirmed and Common Results	IS D5-TAG 19:0/12:0/19:0 	(12:0)(-FA 12:0)	18835375	18879750	9892000	17543250	16750625	16203750	9582625	12456500	15134875	16398375	11071375	9903125	14760875	16149875	16203250	15704000	14595875
857.7	315.3	Positive	Confirmed and Common Results	IS D5-TAG 19:0/12:0/19:0 	(19:0)(-FA 19:0)	58417125	58690500	31537750	53846000	50686125	50992500	29159000	39161125	47565875	49591750	33949750	32418750	48710750	51767500	55447875	50276750	45776875
869.7	285.3	Positive	Confirmed and Common Results	IS D5-TAG 17:0/17:1/17:0 	(17:1)(-FA 17:1)	19460875	20450500	10376125	19077750	17114250	17641875	10133375	14373125	15740750	17351500	11917375	10885375	16308500	17813875	18821125	16365375	15286250
869.7	287.3	Positive	Confirmed and Common Results	IS D5-TAG 17:0/17:1/17:0 	(17:0)(-FA 17:0)	62190250	65511625	33441250	60911875	55940000	54653750	32989250	45761625	51427125	54727875	38291125	35820000	51483875	56158125	59694875	53958375	48961125
949.8	297.3	Positive	Confirmed and Common Results	IS D5-TAG 20:4/18:2/20:4 	(18:2)(-FA 18:2)	2669625	2698375	1381125	2800875	2204750	2597000	1279000	2289875	1992375	2268875	1546000	1421125	2319875	2417000	2765500	2265125	1795500
949.8	321.3	Positive	Confirmed and Common Results	IS D5-TAG 20:4/18:2/20:4 	(20:4)(-FA 20:3)	29553125	31143250	14316125	27187625	24068625	25885500	13655250	24868875	22090375	24510500	16993875	15343625	23772750	26702000	29123000	24969125	20149375
955.8	295.3	Positive	Confirmed and Common Results	IS D5-TAG 20:2/18:3/20:2 	(18:3)(-FA 18:3)	15124625	15818375	7915500	15037000	14365250	14807375	7922250	13246375	11635125	13098125	9360875	8276500	12624000	13747125	14570250	13463500	11421375
